,ID,Shrt_Desc,Carbohydrt_(g),Energ_Kcal,Lipid_Tot_(g),Cholestrl_(mg),Sodium_(mg),Protein_(g),Fiber_TD_(g),Sugar_Tot_(g)
642,642,"SALAD DRSNG,FRENCH DRSNG,RED FAT",31.22,222,11.52,0.0,838.0,0.58,1.5,16.86
7570,7570,"BEEF,COMP OF RTL CUTS,LN,1/8"" FAT,SEL,CKD",0.0,167,6.37,74.0,51.0,27.51,0.0,0.0
7620,7620,"BEEF,GROUND,75% LN MEAT / 25% FAT,RAW",0.0,293,25.0,75.0,66.0,15.76,0.0,0.0
2490,2490,"PORK,FRSH,LEG (HAM),RUMP HALF,LN&FAT,RAW",0.0,182,10.63,63.0,73.0,20.27,0.0,0.0
1689,1689,"SAUSAGE,ITALIAN,PORK,CKD",4.27,344,27.31,57.0,743.0,19.12,0.1,1.86
4721,4721,"OYSTER,EASTERN,WILD,CKD,DRY HEAT",4.23,79,2.65,62.0,132.0,8.87,0.0,0.96
5460,5460,"LAMB,NZ,IMP,CHUMP,BNLESS,LN,RAW",0.0,121,3.83,65.0,62.0,21.68,0.0,0.0
6744,6744,"FAST FOODS,SUBMARINE SNDWCH,BACON,LETTUCE,& TOMATO WHT BRD",26.66,205,6.41,13.0,354.0,10.06,1.6,3.61
7869,7869,"KEEBLER,CHIPS DELUXE,SOFT 'N CHEWY CHOC CHIP COOKIES",67.4,464,20.7,5.0,349.0,4.2,2.5,29.9
2097,2097,"CEREALS,QUAKER,OATMEAL,REAL MEDLEYS,APPL WALNUT,DRY",70.53,390,10.36,0.0,356.0,8.18,7.0,29.36
1071,1071,"CHICKEN,BROILERS OR FRYERS,BACK,MEAT & SKN,CKD,ROTISSERIE,OR",0.03,260,18.59,128.0,584.0,23.23,0.0,0.03
8212,8212,"V8 60% VEG JUC,V8 V-LITE",2.88,14,0.0,0.0,148.0,0.41,0.4,2.06
6148,6148,"CANDIES,MARSHMALLOWS",81.3,318,0.2,0.0,80.0,1.8,0.1,57.56
5050,5050,"WORTHINGTON STRIPPLES,FRZ,UNPREP",14.3,346,26.6,2.0,1463.0,12.4,5.1,0.8
2717,2717,"PORK,CURED,HAM & H2O PRODUCT,RUMP,BONE-IN,LN,UNHTD",1.24,107,3.38,58.0,1070.0,17.93,0.0,0.97
7595,7595,"BEEF,SIRLOIN,TRI-TIP STK,LN & FAT,0"" FAT,ALL GRDS,CKD,BRLD",0.0,265,15.18,68.0,72.0,29.97,0.0,0.0
2478,2478,"PORK,FRSH,COMP OF FAT,W/ ADDED SOLN,CKD",0.32,585,60.42,81.0,125.0,10.06,0.0,0.0
8613,8613,"CEREALS RTE,POST,GREAT GRAINS CRUNCHY PECAN CRL",73.0,403,10.5,0.0,287.0,9.0,9.7,15.4
7724,7724,"SNACKS,VEG CHIPS,HAIN CELESTIAL GROUP,TERRA CHIPS",57.97,517,29.81,0.0,246.0,4.13,10.9,9.75
7119,7119,"BEEF,SHRT LOIN,T-BONE STEAK,LN & FAT,1/8"" FAT,SEL,CKD,GRLLD",0.0,281,19.22,84.0,62.0,25.18,0.0,0.0
8684,8684,"CEREALS RTE,FAMILIA",73.8,388,6.3,0.0,8.0,9.5,8.5,23.2
5524,5524,"VEAL,LOIN,CHOP,LN,CKD,GRILLED",0.07,159,4.44,78.0,85.0,29.75,0.0,0.0
2863,2863,"BEETS,CKD,BLD,DRND",9.96,44,0.18,0.0,77.0,1.68,2.0,7.96
6526,6526,"RYE FLOUR,DARK",68.63,325,2.22,0.0,2.0,15.91,23.8,2.31
8183,8183,"PEPPERIDGE FARM,FARMHOUSE OATMEAL BREAD",50.7,275,4.07,1.0,465.0,0.01,3.0,6.91
2435,2435,"GUAVA NECTAR,CND,W/ ADDED VIT C",16.25,63,0.06,0.0,6.0,0.09,1.0,12.95
3965,3965,"BEEF,CHUCK,ARM POT RST,LN&FAT,1/8""FAT,CHOIC,CKD,BRSD",0.0,309,19.93,121.0,49.0,30.2,0.0,0.0
6073,6073,"ORIENTAL MIX,RICE-BASED",51.62,506,25.58,0.0,413.0,17.31,13.2,3.0
2183,2183,"CHERRIES,SWT,CND,H2O PK,SOL&LIQUIDS",11.76,46,0.13,0.0,1.0,0.77,1.5,10.26
1200,1200,"CHICkN,BROILR OR FRYRS,BRST,SKNLSS,BNLESS,MEAT ONLY,CKD,BRSD",0.0,157,3.24,116.0,47.0,32.06,0.0,0.0
2839,2839,"LIMA BNS,IMMAT SEEDS,CKD,BLD,DRND,WO/SALT",23.64,123,0.32,0.0,17.0,6.81,5.4,1.63
7067,7067,"EGG ROLLS,PORK,REFR,HTD",29.5,222,7.17,14.0,407.0,9.94,2.1,5.32
5866,5866,"BREAD,WHEAT GERM,TOASTED",54.3,293,3.3,1.0,621.0,10.7,2.3,4.14
5322,5322,"LAMB,GROUND,RAW",0.0,282,23.41,73.0,59.0,16.56,0.0,0.0
2222,2222,"GRAPEFRUIT,RAW,PINK&RED,ALL AREAS",10.66,42,0.14,0.0,0.0,0.77,1.6,6.89
2742,2742,"PORK,CURED,HAM -- H2O ADDED,SHANK,BONE-IN,LN & FAT,HTD,RSTD",1.35,200,13.37,66.0,988.0,18.62,0.0,0.79
1136,1136,"CHICKEN,DK MEAT,THIGH,MEAT ONLY,W/ ADDED SOLN,CKD,BRSD",0.0,164,7.96,126.0,197.0,23.0,0.0,0.0
5891,5891,"CRACKERS,SALTINES,LO SALT (INCL OYSTER,SODA,SOUP)",74.34,421,8.85,0.0,198.0,9.5,2.9,2.22
4428,4428,"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 90 PROOF",0.0,263,0.0,0.0,1.0,0.0,0.0,0.0
6223,6223,"PUDDINGS,VANILLA,DRY MIX,INST,PREP W/ WHL MILK",19.7,114,2.9,11.0,286.0,2.7,0.0,18.03
426,426,"BABYFOOD,FRUIT,APPL&BLUEBERRY,STR",16.3,61,0.2,0.0,1.0,0.2,1.8,13.93
4306,4306,"BEVERAGES,TEA,BLACK,READY TO DRK",0.0,0,0.0,0.0,2.0,0.0,0.0,0.0
3873,3873,"BEEF,RND,TIP RND,RST,LN & FAT,0"" FAT,SEL,CKD,RSTD",0.0,181,7.53,76.0,35.0,26.57,0.0,0.0
3040,3040,"ONIONS,WELSH,RAW",6.5,34,0.4,0.0,17.0,1.9,2.4,2.18
3666,3666,"HAZELNUTS OR FILBERTS,BLANCHED",17.0,629,61.15,0.0,0.0,13.7,11.0,3.49
5174,5174,"LAMB,NZ,IMP,LOIN CHOP,LN & FAT,RAW",0.22,298,26.19,69.0,63.0,15.4,0.0,0.0
2261,2261,"LIME JUC,CND OR BTLD,UNSWTND",6.69,21,0.23,0.0,16.0,0.25,0.4,1.37
820,820,"MAYONNAISE,RED FAT,W/ OLIVE OIL",0.0,361,40.0,33.0,800.0,0.37,0.0,0.0
2700,2700,"PORK,CURED,HAM & H2O PRODUCT,SLICE,BNLESS,LN,HTD,PAN-BROIL",4.69,123,5.06,45.0,1390.0,15.09,0.0,4.69
570,570,"INF FORMULA,MEAD JOHNSON,ENFAMIL,LACTOFREE,W/ IRN,PDR,NOTREC",57.0,521,28.0,8.0,156.0,10.85,0.0,57.0
4746,4746,"BEANS,BKD,CND,PLN OR VEGETARIAN",21.14,94,0.37,0.0,343.0,4.75,4.1,7.96
6525,6525,RYE GRAIN,75.86,338,1.63,0.0,2.0,10.34,15.1,0.98
1498,1498,"CAMPBELL'S RED & WHITE - MICROWAVEABLE BOWLS,CHICK RICE SOUP",5.71,30,0.41,2.0,327.0,0.82,0.4,0.41
8586,8586,"BOLOGNA,BEEF,LOW FAT",5.2,204,14.8,44.0,821.0,11.8,0.0,0.0
1521,1521,"CAMPBELL'S SOUP ON THE GO,CHICK W/ MINI NOODLES SOUP",3.61,26,0.66,3.0,321.0,1.31,0.7,0.66
3415,3415,"MUSTARD GRNS,CKD,BLD,DRND,W/SALT",4.51,26,0.47,0.0,252.0,2.56,2.0,1.41
4376,4376,"BEVERAGES,COCOA MIX,W/ ASPRT,PDR,PREP W/ H2O",5.61,29,0.23,0.0,72.0,1.21,0.6,2.93
699,699,"SHORTENING,HOUSEHOLD,LARD&VEG OIL",0.0,900,100.0,56.0,0.0,0.0,0.0,0.0
7052,7052,"CAMPBELL'S,SPAGHETTIOS,SPAGHETTIOS PLUS CA",13.89,67,0.4,2.0,238.0,2.38,1.2,5.16
3084,3084,"POTATOES,WHITE,FLESH & SKN,BKD",21.08,94,0.15,0.0,7.0,2.1,2.1,1.53
4223,4223,"BEVERAGES,CARB,LEMON-LIME SODA,NO CAFFEINE",10.42,41,0.0,0.0,10.0,0.09,0.0,10.38
3717,3717,"SESAME SD KRNLS,TSTD,W/SALT (DECORT)",26.04,567,48.0,0.0,588.0,16.96,16.9,0.48
3921,3921,"BEEF,RND,TIP RND,RST,LN & FAT,0"" FAT,CHOIC,RAW",0.0,156,7.73,63.0,51.0,20.16,0.0,0.0
4353,4353,"BEVERAGES,MALTED DRK MIX,CHOC,PDR,PREP W/ WHL MILK",11.2,85,3.29,10.0,60.0,3.37,0.5,6.68
2169,2169,"BLUEBERRIES,FRZ,SWTND",21.95,85,0.13,0.0,1.0,0.4,2.2,19.72
3889,3889,"BEEF,LOIN,TOPLOINSTK,BNLS,LIP OFF,LN FT,0"" FT,CHC,CKD,GRLD",0.0,233,12.51,88.0,59.0,28.19,0.0,0.0
7360,7360,"BEEF,LOIN,TOP SRLN CAP STK,BLS,LN & FAT,1/8"" FAT,SEL,CKD,GLD",0.4,249,16.1,85.0,78.0,25.5,0.0,0.0
6186,6186,"CANDIES,MARS SNACKFOOD US,STARBURST FRUIT CHEWS,ORIG FRUIT",82.57,408,8.21,0.0,2.0,0.41,0.0,58.12
4119,4119,"BEEF,CHUCK,SHRT RIBS,BNLESS,LN,0"" FAT,ALL GRDS,CKD,BRSD",0.0,240,13.8,105.0,75.0,28.82,0.0,0.0
2565,2565,"PORK,FRSH,SHLDR,BLADE,BOSTON (ROASTS),LN,CKD,RSTD",0.0,232,14.3,85.0,88.0,24.21,0.0,0.0
6615,6615,"RICE,WHITE,LONG-GRAIN,PARBLD,UNENR,CKD",26.05,123,0.37,0.0,2.0,2.91,0.9,0.11
8567,8567,"BABYFOOD,BANANA JUC W/LOFAT YOGURT",17.54,89,0.8,3.0,37.0,2.5,0.4,13.28
3733,3733,"PECANS,DRY RSTD,W/SALT",13.55,710,74.27,0.0,383.0,9.5,9.4,4.06
7813,7813,"KELLOGG'S,CINNABON,PANCAKES,CARAMEL",43.4,255,7.1,14.0,456.0,5.0,1.0,15.6
8701,8701,"POTATOES,CND,DRND SOL,NO SALT",13.6,62,0.2,0.0,5.0,1.4,2.4,0.59
2002,2002,"CEREALS RTE,QUAKER,CHRISTMAS CRUNCH",85.92,397,4.83,0.0,724.0,4.44,2.6,44.31
1002,1002,"TURKEY FROM WHL,LT MEAT,MEAT & SKN,CKD,RSTD",0.05,177,5.57,89.0,101.0,29.55,0.0,0.0
8397,8397,"FISH,SALMON,KING,W/ SKN,KIPPERED,(ALASKA NATIVE)",0.0,209,12.95,67.0,870.0,23.19,0.0,0.0
6375,6375,"CHEESE PUFFS & TWISTS,CORN BSD,BKD,LOFAT",72.35,432,12.1,1.0,847.0,8.5,3.6,7.29
464,464,"BABYFOOD,COOKIES",67.1,433,13.2,12.0,300.0,11.8,0.2,24.2
1876,1876,"CEREALS,OATS,REG & QUICK & INST,UNENR,CKD W/ H2O,W/ SALT",12.0,71,1.52,0.0,71.0,2.54,1.7,0.27
7760,7760,"SOUP,WONTON,CHINESE RESTAURANT",5.25,32,0.26,4.0,406.0,2.08,0.2,0.34
6051,6051,"SNACKS,CORN-BASED,EXTRUDED,CHIPS,PLN",56.9,538,33.36,0.0,514.0,6.17,4.0,0.27
1588,1588,"SOUP,PEA,LO NA,PREP W/ EQ VOLUME H2O",9.88,62,1.09,0.0,10.0,3.2,1.9,3.19
7093,7093,"KASHI,STEAM MEAL,CHICK FETTUCCINE,FRZ ENTREE",14.0,99,2.7,14.0,166.0,6.2,2.0,1.3
1677,1677,"SALAMI,CKD,BF&PORK",2.4,336,25.9,89.0,1740.0,21.85,0.0,0.96
7875,7875,"KEEBLER,CLUB,RED FAT CRACKERS",73.1,441,13.9,0.0,938.0,6.1,2.0,10.1
7089,7089,"CHICKEN TENDERS,BREADED,FRZ,PREP",14.86,240,13.58,36.0,527.0,14.62,1.7,0.57
5767,5767,"ENGLISH MUFFINS,WHEAT",44.8,223,2.0,0.0,353.0,8.7,4.6,1.56
4242,4242,"BEVERAGES,CHOC DRK,MILK & SOY BSD,READY TO DRK,FORT",17.3,101,1.69,4.0,63.0,4.22,1.3,8.44
1262,1262,"SOUP,CHICK BROTH OR BOUILLON,DRY",18.01,267,13.88,13.0,23875.0,16.66,0.0,17.36
2610,2610,"PORK,CURED,HAM,WHL,LN,UNHTD",0.05,147,5.71,52.0,1516.0,22.32,0.0,0.0
668,668,"SALAD DRSNG,HOME RECIPE,VINEGAR&OIL",2.5,449,50.1,0.0,1.0,0.0,0.0,2.5
1800,1800,"CEREALS RTE,GENERAL MILLS,HONEY NUT CHEERIOS",79.69,376,5.0,0.0,566.0,8.85,7.1,32.89
2940,2940,"CORN,SWT,YEL,FRZ,KRNLS ON COB,UNPREP",23.5,98,0.78,0.0,5.0,3.28,2.8,3.78
6042,6042,"BEAR NAKED,FRUIT & NUT COOKIES",61.6,443,21.4,0.0,133.0,7.5,7.1,29.4
6949,6949,"FAST FOODS,FRIED CHICK,SKN & BREADING FROM ALL PIECES",19.56,398,29.22,82.0,965.0,14.11,0.3,0.0
1391,1391,"CAMPBELL'S RED & WHITE,CRM OF BROCCOLI SOUP,COND",9.68,73,4.03,4.0,605.0,1.61,0.8,2.42
5723,5723,"CRACKERS,MATZO,PLAIN",83.7,395,1.4,0.0,0.0,10.0,3.0,0.29
840,840,"CHICKEN,BROILERS OR FRYERS,SKN ONLY,CKD,RSTD",0.0,454,40.68,83.0,65.0,20.36,0.0,0.0
2382,2382,"SAPOTE,MAMEY,RAW",32.1,124,0.46,0.0,7.0,1.45,5.4,20.14
3531,3531,"PEPPERS,SWT,RED,SAUTEED",6.57,133,12.75,0.0,21.0,1.04,1.8,4.28
375,375,"BABYFOOD,GRN BNS,DICES,TODD",5.7,29,0.2,0.0,37.0,1.2,1.3,1.06
2521,2521,"PORK,FRSH,LOIN,CNTR LOIN (ROASTS),BONE-IN,LN,CKD,RSTD",0.0,194,7.95,75.0,86.0,28.58,0.0,0.0
3107,3107,"POTATOES,MSHD,DEHYD,GRANULES W/MILK,DRY FORM",77.7,357,1.1,2.0,82.0,10.9,6.6,3.37
2983,2983,"KALE,CKD,BLD,DRND,WO/SALT",5.63,28,0.4,0.0,23.0,1.9,2.0,1.25
4173,4173,"BEVERAGES,KELLOGG'S SPL K20 PROT PDR",58.4,380,0.6,4.0,280.0,35.2,37.5,2.0
1739,1739,SALAMI  ITALIAN  PORK & BF  DRY  SLICED  50% LESS NA,6.4,350,26.4,89.0,936.0,21.8,0.0,0.0
2172,2172,"BREADFRUIT,RAW",27.12,103,0.23,0.0,2.0,1.07,4.9,11.0
1297,1297,"SAUCE,SALSA,RTS",6.64,29,0.17,0.0,711.0,1.52,1.9,4.01
2658,2658,"PORK,FRSH,LOIN,SIRLOIN (CHOPS),BNLESS,LN&FAT,CKD,BRSD",0.0,171,5.47,80.0,56.0,28.41,0.0,0.0
7906,7906,"KEEBLER,GRIPZ,CHIPS DELUXE,CHOC CHIP COOKIES,BITE-SIZE",71.3,473,19.3,0.0,385.0,5.3,2.5,31.4
19,19,"CHEESE,FONTINA",1.55,389,31.14,116.0,800.0,25.6,0.0,1.55
2921,2921,"CHICORY GREENS,RAW",4.7,23,0.3,0.0,45.0,1.7,4.0,0.7
6190,6190,"CANDIES,MARS SNACKFOOD US,TWIX PNUT BUTTER COOKIE BARS",54.15,536,32.67,6.0,226.0,9.18,3.1,36.13
6047,6047,"KELLOGG'S,EGGO,MINI MUFFIN TOPS,BLUEBERRY",45.8,293,10.2,28.0,586.0,5.0,1.0,18.1
927,927,"CHICKEN,BROILERS OR FRYERS,WING,MEAT ONLY,RAW",0.0,126,3.54,57.0,81.0,21.97,0.0,0.0
8669,8669,VEGETARIAN MEATLOAF OR PATTIES,8.0,197,9.0,0.0,550.0,21.0,4.6,1.2
6578,6578,"WHEAT FLOURS,BREAD,UNENR",72.53,361,1.66,0.0,2.0,11.98,2.4,0.31
4156,4156,"ALCOHOLIC BEV,DISTILLED,RUM,80 PROOF",0.0,231,0.0,0.0,1.0,0.0,0.0,0.0
2021,2021,"CEREALS RTE,GENERAL MILLS,FRUITY CHEERIOS",84.19,381,4.59,0.0,501.0,5.8,5.9,32.2
808,808,"MARGARINE,REG,80% FAT,COMP,STK,WO/ SALT,W/ ADDED VITAMIN D",0.7,717,80.71,0.0,2.0,0.16,0.0,0.0
7422,7422,"BEEF,LOIN,TENDERLOIN STEAK,BNLESS,L & F,0"" FAT,ALL GRDS,RAW",0.0,147,6.67,61.0,44.0,21.72,0.0,0.0
7435,7435,"BEEF,RND,TOP RND STEAK,BNLESS,LN,0"" FAT,CHOIC,RAW",0.0,124,3.26,61.0,56.0,23.59,0.0,0.0
4778,4778,"BEANS,PINK,MATURE SEEDS,RAW",64.19,343,1.13,0.0,8.0,20.96,12.7,2.14
2854,2854,"BEANS,SNAP,GRN,CKD,BLD,DRND,WO/SALT",7.88,35,0.28,0.0,1.0,1.89,3.2,3.63
1218,1218,"SOUP,CHICK GUMBO,CND,COND",6.67,45,1.14,3.0,693.0,2.1,1.6,1.93
1993,1993,"CEREALS RTE,KELLOGG,SPL K,FRUIT & YOGURT",85.3,367,2.9,0.0,452.0,7.1,8.1,32.1
2208,2208,"FRUIT COCKTAIL,CND,JUC PK,SOL&LIQUIDS",11.86,46,0.01,0.0,4.0,0.46,1.0,10.86
6367,6367,"SESAME STKS,WHEAT-BASED,SALTED",46.5,541,36.7,0.0,1488.0,10.9,2.8,0.19
1634,1634,"CHORIZO,PORK AND BEEF",1.86,455,38.27,88.0,1235.0,24.1,0.0,0.0
7637,7637,"BEEF,RND,BTTM RND,RST,LN,1/8"" FAT,ALL GRDS,RAW",0.0,128,4.31,61.0,59.0,22.19,0.0,0.0
6372,6372,"SNACKS,POTATO CHIPS,FAT-FREE,MADE W/OLESTRA",65.0,274,0.7,0.0,554.0,7.74,6.8,0.0
7589,7589,"BEEF,CHUCK,CLOD RST,LN & FAT,0"" FAT,CHOIC,CKD,RSTD",0.0,216,12.26,67.0,71.0,24.61,0.0,0.0
2615,2615,"PORK,CURED,SALT PORK,RAW",0.0,748,80.5,86.0,2684.0,5.05,0.0,0.0
441,441,"BABYFOOD,JUC,MXD FRUIT",11.7,47,0.1,0.0,8.0,0.1,0.1,8.46
4038,4038,"BEEF,RND,TIP RND,LN&FAT,1/8""FAT,SEL,RAW",0.0,178,10.39,64.0,58.0,19.74,0.0,0.0
8680,8680,"SALAD DRSNG,BTTRMLK,LITE",21.33,202,12.42,16.0,1120.0,1.25,1.1,3.77
7621,7621,"BEEF,GROUND,75% LN MEAT / 25% FAT,PATTY,CKD,BRLD",0.0,279,18.87,88.0,78.0,25.56,0.0,0.0
128,128,"EGG,QUAIL,WHOLE,FRESH,RAW",0.41,158,11.09,844.0,141.0,13.05,0.0,0.4
2211,2211,"FRUIT COCKTAIL,CND,HVY SYRUP,SOL&LIQUIDS",18.91,73,0.07,0.0,6.0,0.39,1.0,17.91
4178,4178,"BEVERAGES,YEL GRN COLORED CITRUS SOFT DRK W/ CAFFEINE",12.83,49,0.0,0.0,18.0,0.0,0.0,12.9
489,489,"BABYFOOD,DINNER,VEG&CHICK,JR",8.66,53,1.12,7.0,34.0,2.04,1.1,1.46
4357,4357,"BEVERAGES,PNAPPL & ORANGE JUC DRK,CND",11.8,50,0.0,0.0,3.0,1.3,0.1,11.59
7537,7537,"BEEF,NZ,IMP,FLANK,LN & FAT,RAW",0.0,161,8.9,49.0,46.0,20.12,0.0,0.0
836,836,"CHICKEN,BROILERS OR FRYERS,MEAT ONLY,STWD",0.0,177,6.71,83.0,70.0,27.29,0.0,0.0
3709,3709,"SESAME SD KRNLS,DRIED (DECORT)",11.73,631,61.21,0.0,47.0,20.45,11.6,0.48
6346,6346,"CANDIES,TAFFY,PREPARED-FROM-RECIPE",91.56,397,3.33,9.0,52.0,0.03,0.0,68.48
3905,3905,"BEEF,SHRT LOIN,PRTRHS STEAK,LN,0"" FAT,ALL GRDS,CKD,BRLD",0.0,212,11.18,62.0,69.0,26.07,0.0,0.0
4071,4071,"BEEF,TENDERLOIN,STEAK,LN & FAT,1/8"" FAT,CHOIC,RAW",0.0,246,17.88,85.0,50.0,19.82,0.0,0.0
1243,1243,"SOUP,PEA,GRN,CND,COND",20.18,125,2.23,0.0,680.0,6.54,3.9,6.52
6077,6077,"POPCORN,CAKES",80.1,384,3.1,0.0,288.0,9.7,2.9,0.72
4497,4497,"COD,ATLANTIC,CKD,DRY HEAT",0.0,105,0.86,55.0,78.0,22.83,0.0,0.0
3249,3249,"VEGETABLE JUC COCKTAIL,CND",3.87,22,0.31,0.0,169.0,0.93,0.5,2.84
3192,3192,"SQUASH,WNTR,HUBBARD,BKD,WO/ SALT",10.81,50,0.62,0.0,8.0,2.48,4.9,4.9
6670,6670,"FAST FOODS,FRENCH TOAST STKS",41.21,340,17.74,0.0,400.0,6.0,1.4,9.89
2247,2247,"GUAVA SAUCE,COOKED",9.48,36,0.14,0.0,4.0,0.32,3.6,5.88
2708,2708,"PORK,CURED,HAM -- H2O ADDED,SLICE,BNLESS,LN,HTD,PAN-BROIL",1.75,119,4.09,54.0,1223.0,18.82,0.0,1.75
6752,6752,"PIZZA,CHS TOPPING,REG CRUST,FRZ,CKD",29.02,268,12.28,14.0,447.0,10.36,2.2,3.57
7007,7007,"SCHOOL LUNCH,PIZZA,PEPPI TOPPING,THIN CRUST,WHL GRN,FRZ,CKD",31.24,254,8.62,24.0,495.0,12.78,4.3,7.62
7329,7329,"BEEF,TOP LOIN FILET,BNLESS,LN,1/8"" FAT,SEL,CKD,GRILLED",0.2,184,7.12,87.0,65.0,29.85,0.0,0.0
7543,7543,"BEEF,NZ,IMP,RUMP CENTRE,LN & FAT,CKD,FAST FRIED",0.0,192,7.96,78.0,55.0,30.01,0.0,0.0
2972,2972,"GOURD,DISHCLOTH (TOWELGOURD),CKD,BLD,DRND,WO/SALT",14.34,56,0.34,0.0,21.0,0.66,2.9,5.17
3356,3356,"BROCCOLI,LEAVES,RAW",5.06,28,0.35,0.0,27.0,2.98,2.3,1.48
4469,4469,"WATER,W/ CORN SYRUP AND/OR SUGAR & LO CAL SWTNR,FRUIT FLAV",4.5,18,0.0,0.0,8.0,0.0,0.0,4.5
8024,8024,"MURRAY,SUGAR FREE,FUDGE DIPPED GRAHAMS",63.3,483,27.5,1.0,278.0,5.7,3.8,0.4
1682,1682,"SMOKED LINK SAUSAGE,PORK",0.94,309,28.23,61.0,827.0,11.98,0.0,0.94
133,133,"MILK,NONFAT,FLUID,WO/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",4.96,34,0.08,2.0,42.0,3.37,0.0,5.09
803,803,"MARGARINE,REG,80% FAT,COMP,STK,W/ SALT,W/ ADDED VITAMIN D",0.7,717,80.71,0.0,751.0,0.16,0.0,0.0
2917,2917,"CHARD,SWISS,CKD,BLD,DRND,WO/SALT",4.13,20,0.08,0.0,179.0,1.88,2.1,1.1
4619,4619,"CRAB,BLUE,CANNED",0.0,83,0.74,97.0,563.0,17.88,0.0,0.0
8085,8085,"KEEBLER,ZESTA,SALTINES,ORIGINAL",76.1,418,9.0,0.0,1021.0,8.2,2.5,1.6
7661,7661,"BEEF,RND,BTTM RND,RST,LN,1/8"" FAT,CHOIC,RAW",0.0,140,4.96,62.0,56.0,22.22,0.0,0.0
5301,5301,"VEAL,VAR MEATS&BY-PRODUCTS,LIVER,CKD,BRSD",3.77,192,6.26,511.0,78.0,28.42,0.0,0.0
258,258,CHILI POWDER,49.7,282,14.28,0.0,2867.0,13.46,34.8,7.19
6678,6678,"FAST FOODS,BURRITO,W/BNS&CHS",31.23,205,6.05,5.0,563.0,7.35,4.2,1.73
3287,3287,"SHALLOTS,FREEZE-DRIED",80.7,348,0.5,0.0,59.0,12.3,15.7,38.16
6035,6035,"AUSTIN,CHEDDAR CHS ON CHS CRACKERS,SANDWICH-TYPE,RED FAT",68.0,461,17.5,3.0,884.0,7.8,1.4,14.6
1018,1018,"TURKEY,BACK,FROM WHL BIRD,MEAT ONLY,RSTD",0.0,173,6.04,128.0,104.0,27.71,0.0,0.0
5131,5131,"LAMB,DOM,RIB,LN,1/4""FAT,CHOIC,CKD,BRLD",0.0,235,12.95,91.0,85.0,27.74,0.0,0.0
2754,2754,"PORK,CURED,HAM W/ NAT JUICS,SLICE,BNLES,LN & FAT,HTD,PAN-BRL",1.04,118,3.4,58.0,1160.0,20.89,0.0,1.04
2793,2793,"PORK,GROUND,84% LN / 16% FAT,CKD,CRUMBLES",0.58,289,20.04,89.0,89.0,26.69,0.0,0.0
2753,2753,"PORK,CURED,HAM W/ NAT JUICS,SLCE,BNE-IN,LN & FAT,HTD,PAN-BRL",0.17,180,8.28,80.0,821.0,26.18,0.0,0.02
473,473,"BABYFOOD,DSSRT,CHERRY VANILLA PUDD,JR",18.4,69,0.2,10.0,0.0,0.2,0.3,16.98
5729,5729,"CRACKERS,MILK",71.73,446,13.77,11.0,687.0,7.6,3.4,10.32
8022,8022,"MURRAY,SOUTHERN KITCHEN,ICED OATMEAL COOKIES",69.5,467,18.3,0.0,297.0,6.5,4.1,35.6
2353,2353,"PLUMS,CND,PURPLE,H2O PK,SOL&LIQUIDS",11.03,41,0.01,0.0,1.0,0.39,0.9,10.1
1183,1183,"TURKEY,THIGH,FROM WHL BIRD,MEAT ONLY,W/ ADDED SOLN,RSTD",0.0,158,6.0,105.0,201.0,26.1,0.0,0.0
7863,7863,"KEEBLER,CHIPS DELUXE,MINI CHOC CHIP COOKIES",68.0,498,23.1,10.0,418.0,5.2,2.4,31.0
4518,4518,"HALIBUT,ATLANTIC&PACIFIC,CKD,DRY HEAT",0.0,111,1.61,60.0,82.0,22.54,0.0,0.0
6114,6114,"CANDIES,SWEET CHOCOLATE",60.4,507,34.2,0.0,16.0,3.9,5.5,51.48
3028,3028,"OKRA,FRZ,CKD,BLD,DRND,WO/SALT",6.41,29,0.24,0.0,3.0,1.63,2.1,2.87
4568,4568,"FISH,SALMON,SOCKEYE,CND,DRND SOL",0.0,167,7.39,79.0,408.0,23.59,0.0,0.0
1476,1476,"SOUP,CRM OF SHRIMP,CND,PREP W/ EQ VOLUME H2O",3.27,36,2.07,7.0,391.0,1.11,0.1,0.24
2833,2833,"BAMBOO SHOOTS,RAW",5.2,27,0.3,0.0,4.0,2.6,2.2,3.0
8711,8711,"FROZEN NOVELTIES,JUC TYPE,ORANGE",23.17,95,0.0,0.0,8.0,0.5,0.1,19.99
1279,1279,"GRAVY,MUSHROOM,DRY,PDR",64.66,328,4.0,3.0,6580.0,10.0,4.8,3.26
1192,1192,"TURKEY,DRUMSTK,FROM WHL BIRD,MEAT ONLY,RAW",0.14,109,1.48,57.0,113.0,23.66,0.0,0.05
4028,4028,"BEEF,RND,EYE OF RND,RST,LN & FAT,1/8"" FAT,ALL GRDS,RAW",0.0,166,8.24,68.0,58.0,21.49,0.0,0.0
2494,2494,"PORK,FRSH,LEG (HAM),SHANK HALF,LN&FAT,RAW",0.0,193,11.96,67.0,84.0,19.87,0.0,0.0
770,770,"OIL,INDUSTRIAL,SOY (PART HYDR ) & SOY,POURABLE FRY",0.0,884,100.0,0.0,0.0,0.0,0.0,0.0
